"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","ATT","YDS","TDS","TGT","REC","YDS","TDS"
"1",1,"Bijan Robinson",ATL,"20.1","17.9","85.6","0.8","4.2","3.6","25.4","0.1"
"2",1,"Jahmyr Gibbs",DET,"21.3","14.7","83.1","0.9","3.7","3.1","30.4","0.2"
"3",1,"Saquon Barkley",PHI,"22.2","21.6","125.3","0.8","2.7","2.1","17.4","0.1"
"4",1,"Christian McCaffrey",SF,"11.9","12.5","50.5","0.0","4.8","3.8","36.5","0.0"
"5",2,"De'Von Achane",MIA,"17.6","11.9","53.4","0.4","5.1","4.6","34.8","0.4"
"6",2,"Ashton Jeanty",LV,"0","0","0","0","0","0","0","0"
"7",2,"Derrick Henry",BAL,"19.8","19.1","113.0","0.9","1.3","1.1","11.4","0.1"
"8",2,"Chase Brown",CIN,"15.9","14.3","61.9","0.4","4.1","3.4","22.5","0.3"
"9",3,"Josh Jacobs",GB,"17.2","17.7","78.2","0.9","2.5","2.1","20.1","0.1"
"10",3,"Bucky Irving",TB,"14.4","12.2","66.0","0.5","3.1","2.8","23.1","0.0"
"11",3,"Jonathan Taylor",IND,"17.5","21.6","102.2","0.8","2.2","1.3","9.7","0.1"
"12",3,"Kyren Williams",LAR,"17.0","19.8","81.2","0.9","2.5","2.1","11.4","0.1"
"13",3,"Alvin Kamara",NO,"18.9","16.3","67.9","0.4","6.4","4.9","38.8","0.1"
"14",3,"Breece Hall",NYJ,"15.1","13.1","54.8","0.3","4.8","3.6","30.2","0.2"
"15",3,"Kenneth Walker III",SEA,"16.5","13.9","52.1","0.6","4.8","4.2","27.2","0.1"
"16",3,"Omarion Hampton",LAC,"0","0","0","0","0","0","0","0"
"17",3,"James Cook",BUF,"16.7","12.9","63.1","1.0","2.4","2.0","16.1","0.1"
"18",4,"Chuba Hubbard",CAR,"16.1","16.7","79.7","0.7","3.6","2.9","11.4","0.1"
"19",4,"James Conner",ARI,"15.9","14.8","68.4","0.5","3.4","2.9","25.9","0.1"
"20",4,"TreVeyon Henderson",NE,"0","0","0","0","0","0","0","0"
"21",4,"David Montgomery",DET,"15.8","13.2","55.4","0.9","2.7","2.6","24.4","0.0"
"22",4,"RJ Harvey",DEN,"0","0","0","0","0","0","0","0"
"23",4,"D'Andre Swift",CHI,"12.6","14.9","56.4","0.4","3.1","2.5","22.7","0.0"
"24",4,"Aaron Jones Sr.",MIN,"14.2","15.0","66.9","0.3","3.6","3.0","24.0","0.1"
"25",4,"Tony Pollard",TEN,"12.5","16.3","67.4","0.3","3.6","2.6","14.9","0.0"
"26",4,"Isiah Pacheco",KC,"8.1","11.9","44.3","0.1","2.3","1.7","11.3","0.0"
"27",5,"Kaleb Johnson",PIT,"0","0","0","0","0","0","0","0"
"28",5,"Tyrone Tracy Jr.",NYG,"10.7","11.3","49.4","0.3","3.1","2.2","16.7","0.1"
"29",5,"Joe Mixon",HOU,"17.2","17.5","72.6","0.8","3.7","2.6","22.1","0.1"
"30",5,"Jaylen Warren",PIT,"8.3","8.0","34.1","0.1","3.1","2.5","20.7","0.0"
"31",5,"Brian Robinson Jr.",WAS,"11.4","13.4","57.1","0.6","1.8","1.4","11.4","0.0"
"32",5,"Travis Etienne Jr.",JAC,"8.7","10.0","37.2","0.1","3.5","2.6","16.9","0.0"
"33",5,"Jordan Mason",MIN,"9.6","12.8","65.8","0.3","1.2","0.9","7.6","0.0"
"34",5,"Javonte Williams",DAL,"9.3","8.2","30.2","0.2","4.1","3.1","20.4","0.0"
"35",5,"Zach Charbonnet",SEA,"11.0","7.9","33.5","0.5","3.1","2.5","20.0","0.1"
"36",5,"Rhamondre Stevenson",NE,"11.7","13.8","53.4","0.5","2.7","2.2","11.2","0.1"
"37",5,"J.K. Dobbins",DEN,"14.8","15.0","69.6","0.7","2.9","2.5","11.8","0.0"
"38",5,"Cam Skattebo",NYG,"0","0","0","0","0","0","0","0"
"39",5,"Tyjae Spears",TEN,"9.5","7.0","26.0","0.3","2.9","2.5","18.7","0.1"
"40",5,"Rachaad White",TB,"12.5","9.0","38.3","0.2","3.6","3.2","24.6","0.4"
"41",6,"Tank Bigsby",JAC,"8.1","10.5","47.9","0.4","0.8","0.4","3.4","0.0"
"42",6,"Najee Harris",LAC,"12.0","15.5","61.4","0.4","2.8","2.1","16.6","0.0"
"43",6,"Austin Ekeler",WAS,"11.0","6.4","30.6","0.3","3.4","2.9","30.5","0.0"
"44",6,"Quinshon Judkins",CLE,"0","0","0","0","0","0","0","0"
"45",6,"Jerome Ford",CLE,"9.6","7.4","40.4","0.2","3.1","2.6","16.1","0.0"
"46",6,"Ray Davis",BUF,"6.8","6.6","26.0","0.2","1.1","1.0","11.1","0.2"
"47",6,"Trey Benson",ARI,"3.6","4.8","22.4","0.1","0.5","0.5","4.5","0.0"
"48",6,"Braelon Allen",NYJ,"5.0","5.4","19.6","0.1","1.6","1.1","8.7","0.1"
"49",6,"Tyler Allgeier",ATL,"6.2","8.1","37.9","0.2","0.8","0.8","5.2","0.0"
"50",6,"Jaydon Blue",DAL,"0","0","0","0","0","0","0","0"
"51",6,"Dylan Sampson",CLE,"0","0","0","0","0","0","0","0"
"52",6,"Isaac Guerendo",SF,"5.9","5.3","26.3","0.3","1.0","0.9","9.5","0.0"
"53",6,"Rico Dowdle",CAR,"12.4","14.7","67.4","0.1","3.1","2.4","15.6","0.2"
"54",6,"Bhayshul Tuten",JAC,"0","0","0","0","0","0","0","0"
"55",6,"Jaylen Wright",MIA,"1.8","4.5","16.6","0.0","0.4","0.2","0.5","0.0"
"56",6,"Nick Chubb",HOU,"7.9","12.8","41.5","0.4","1.4","0.6","3.9","0.1"
"57",6,"Roschon Johnson",CHI,"6.0","4.2","11.5","0.5","1.5","1.2","8.0","0.0"
"58",7,"Blake Corum",LAR,"2.2","3.9","13.8","0.0","0.5","0.5","3.9","0.0"
"59",7,"MarShawn Lloyd",GB,"2.8","6.0","15.0","0.0","1.0","1.0","3.0","0.0"
"60",7,"Justice Hill",BAL,"8.5","3.1","15.2","0.1","3.4","2.8","25.5","0.2"
"61",7,"Will Shipley",PHI,"1.2","2.3","6.3","0.0","0.3","0.3","2.7","0.0"
"62",7,"Kareem Hunt",KC,"12.0","15.4","56.0","0.5","2.5","1.8","13.5","0.0"
"63",7,"Miles Sanders",DAL,"7.0","5.0","18.6","0.2","2.7","2.2","13.5","0.1"
"64",7,"Kendre Miller",NO,"4.2","5.6","21.1","0.1","1.1","0.7","4.7","0.0"
"65",7,"DJ Giddens",IND,"0","0","0","0","0","0","0","0"
"66",7,"Kyle Monangai",CHI,"0","0","0","0","0","0","0","0"
"67",7,"Keaton Mitchell",BAL,"1.7","3.8","7.5","0.0","0.3","0.3","7.0","0.0"
"68",7,"Woody Marks",HOU,"0","0","0","0","0","0","0","0"
"69",7,"Jaleel McLaughlin",DEN,"6.1","7.1","31.0","0.1","1.7","1.5","4.8","0.1"
"70",7,"Tahj Brooks",CIN,"0","0","0","0","0","0","0","0"
"71",7,"Jarquez Hunter",LAR,"0","0","0","0","0","0","0","0"
"72",7,"Raheem Mostert",LV,"5.5","6.5","21.4","0.2","1.8","1.5","12.4","0.0"
"73",7,"Devin Neal",NO,"0","0","0","0","0","0","0","0"
"74",7,"Brashard Smith",KC,"0","0","0","0","0","0","0","0"
"75",7,"Elijah Mitchell",KC,"0","0","0","0","0","0","0","0"
"76",8,"Ty Johnson",BUF,"5.4","2.4","12.5","0.1","1.5","1.1","16.7","0.2"
"77",8,"Ollie Gordon II",MIA,"0","0","0","0","0","0","0","0"
"78",8,"Trevor Etienne",CAR,"0","0","0","0","0","0","0","0"
"79",8,"Sean Tucker",TB,"4.0","2.9","18.1","0.1","0.7","0.5","6.4","0.1"
"80",8,"Antonio Gibson",NE,"6.1","7.1","31.6","0.1","1.7","1.4","12.1","0.0"
"81",8,"Kenneth Gainwell",PIT,"3.7","4.4","17.1","0.1","1.3","0.9","6.8","0.0"
"82",8,"Jacory Croskey-Merritt",WAS,"0","0","0","0","0","0","0","0"
"83",8,"Devin Singletary",NYG,"6.0","7.1","27.3","0.3","1.5","1.3","7.4","0.0"
"84",8,"Audric Estime",DEN,"3.7","5.8","23.8","0.2","0.4","0.4","2.1","0.0"
"85",8,"Jordan James",SF,"0","0","0","0","0","0","0","0"
"86",8,"Isaiah Davis",NYJ,"3.3","2.1","12.4","0.1","0.9","0.6","5.4","0.1"
"87",8,"Dameon Pierce",HOU,"4.0","3.6","26.6","0.2","0.4","0.2","0.2","0.0"
"88",8,"Khalil Herbert",IND,"2.6","3.0","10.8","0.1","0.9","0.8","2.1","0.0"
"89",8,"Kimani Vidal",LAC,"3.3","4.3","15.5","0.0","0.9","0.5","6.2","0.1"
"90",8,"Sincere McCormick",LV,"6.8","9.8","45.8","0.0","1.8","1.5","7.3","0.0"
"91",8,"Damien Martinez",SEA,"0","0","0","0","0","0","0","0"
"92",8,"Phil Mafah",DAL,"0","0","0","0","0","0","0","0"
"93",8,"Emanuel Wilson",GB,"5.6","6.1","29.5","0.2","0.8","0.6","2.8","0.1"
"94",8,"Chris Brooks",GB,"3.2","2.8","14.1","0.1","1.0","0.8","5.3","0.0"
"95",8,"Ty Chandler",MIN,"1.9","3.7","12.1","0.0","0.4","0.4","2.8","0.0"
"96",8,"Raheim Sanders",LAC,"0","0","0","0","0","0","0","0"
"97",9,"Zack Moss",FA,"9.1","8.2","26.9","0.2","3.0","2.6","20.8","0.1"
"98",9,"Chris Rodriguez Jr.",WAS,"3.9","4.4","21.6","0.3","0.1","0.1","1.5","0.0"
"99",9,"Zamir White",LV,"3.7","8.1","22.9","0.1","1.0","0.8","3.8","0.0"
"100",9,"Samaje Perine",CIN,"4.8","1.2","5.4","0.1","2.1","1.6","18.9","0.1"
"101",9,"A.J. Dillon",PHI,"0","0","0","0","0","0","0","0"
"102",9,"Cam Akers",NO,"5.8","6.5","27.8","0.1","1.1","0.9","4.3","0.2"
"103",9,"Gus Edwards",FA,"5.8","9.2","33.2","0.4","0.5","0.3","0.5","0.0"
"104",9,"LeQuint Allen Jr.",JAC,"0","0","0","0","0","0","0","0"
"105",9,"Donovan Edwards",NYJ,"0","0","0","0","0","0","0","0"
"106",9,"Emari Demercado",ARI,"4.2","1.8","17.2","0.1","1.5","1.2","8.0","0.0"
"107",9,"Kalel Mullings",TEN,"0","0","0","0","0","0","0","0"
"108",9,"Trey Sermon",PIT,"3.6","3.7","10.6","0.1","1.3","1.1","6.6","0.0"
"109",9,"Craig Reynolds",DET,"1.5","2.2","9.9","0.0","0.4","0.2","2.9","0.0"
"110",9,"Kyle Juszczyk",SF,"3.4","0.3","1.5","0.1","1.8","1.1","11.8","0.1"
"111",10,"Jeremy McNichols",WAS,"3.8","3.2","15.4","0.2","0.7","0.5","1.6","0.0"
"112",10,"Pierre Strong Jr.",CLE,"2.7","2.0","8.3","0.0","1.7","1.1","8.0","0.0"
"113",10,"Jonathon Brooks",CAR,"2.5","3.0","7.3","0.0","1.0","1.0","7.7","0.0"
"114",10,"Ja'Quinden Jackson",JAC,"0","0","0","0","0","0","0","0"
"115",10,"Alec Ingold",MIA,"1.8","0.7","1.1","0.1","0.8","0.7","6.4","0.0"
"116",10,"Clyde Edwards-Helaire",NO,"5.0","6.5","23.0","0.0","2.5","1.5","12.0","0.0"
"117",10,"Tyler Goodson",IND,"2.8","2.0","9.6","0.1","0.9","0.7","3.8","0.1"
"118",10,"Marcus Yarns",NO,"0","0","0","0","0","0","0","0"
"119",10,"Julius Chestnut",TEN,"1.0","1.6","7.3","0.0","0.2","0.1","0.8","0.0"
"120",10,"Tyler Badie",DEN,"3.1","3.7","28.7","0.0","1.0","1.0","-0.7","0.0"
"121",10,"D'Ernest Johnson",BAL,"3.0","2.7","11.9","0.0","1.6","1.0","8.0","0.0"
"122",10,"Dylan Laube",LV,"-0.3","0.2","0.0","0.0","0.0","0.0","0.0","0.0"
"123",10,"Michael Carter",ARI,"8.9","8.8","32.8","0.3","2.8","2.8","14.3","0.0"
"124",10,"Hassan Haskins",LAC,"2.2","2.3","5.9","0.1","0.2","0.2","3.3","0.1"
"125",10,"Jawhar Jordan",HOU,"0","0","0","0","0","0","0","0"
"126",10,"Hunter Luepke",DAL,"1.7","0.8","2.4","0.0","1.0","0.8","6.9","0.0"
"127",10,"Sione Vaki",DET,"0.7","0.5","1.2","0.0","0.3","0.3","3.1","0.0"
"128",10,"Patrick Taylor Jr.",SF,"3.3","4.3","20.3","0.1","1.2","0.3","2.8","0.0"
"129",10,"Ronnie Rivers",LAR,"2.6","3.1","14.1","0.0","0.9","0.7","4.9","0.0"
"130",10,"Deuce Vaughn",DAL,"2.0","2.8","11.7","0.0","0.8","0.5","3.0","0.0"
"131",10,"Chris Tyree",NO,"0","0","0","0","0","0","0","0"
"132",10,"Eric Gray",NYG,"1.1","0.9","1.9","0.0","0.7","0.6","5.1","0.0"
"133",10,"Carson Steele",KC,"1.5","3.5","11.4","0.0","0.7","0.4","1.6","0.0"